Address,air,alarm,chilled,chiller,cmd,co2,comp,compressor,condenser,current,damper,delay,delta,demand,discharge,enable,energy,entering,enthalpy,fan,fault,fire,flow,high,hot,humidity,leaving,lockout,low,manual,max,min,outside,power,pressure,refrig,reset,return,run,sensor,sp,speed,suction,sys,sysRef,temp,trip,unit,valve,vfd,water,zone
_Ch_03_Comp_03_Alrm_Super_Ht,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Temp_Cav,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Temp_Dis,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Temp_Inv,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Temp_SCR,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Tot_Cmpr_Rat,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Gnrtr_Mde,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_HiCrnt,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Lvng_Wtr,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Lvng_Wtr,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_OvrCrnt,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Press_Dis,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Press_Suct,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Rtr_Lckd,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_SftStrt_Err,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Super_Ht,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Temp_Cav,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Temp_Dis,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Temp_Inv,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Temp_SCR,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_04_Alrm_Tot_Cmpr_Rat,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
OWeb77000_Amb-Air-Temp-Lockout,,,,,+,,,,,,,,,,,,,,,,+,,,,,,,+,,,,,,,,,,,,,,,,,,+,,��C,,,,
OWeb77000_Ambient-Air-Temp~2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,��C,,,,
OWeb77000_Ch-Global-Lockout-Fault,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,,,,,,,,,,,,+,,,,,,,,,,,,
OWeb77000_Chiller-Demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,%,,,,
OWeb77000_Chiller-Manual-Reset-Fault,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,+,,,,,,,+,,,+,,,,,,,,,,,,
OWeb77000_Chiller-Running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWeb77000_ChW-Control-Setpoint,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,��C,,,+,
OWeb77000_ChW-Flow,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,+,,,,,,,,L/s,,,+,
OWeb77000_ChW-Flow-Status,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,,,+,
OWeb77000_ChW-Pressure-Drop,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,kPa,,,+,
OWeb77000_ChW-Pump-Start,,,+,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,+,
